id,pred_saraV1,pred_saraV2,botometer,classe
3931979187,0,0,0,1
2466956438,0,1,1,1
984937938554441731,1,1,0,1
1075551118699171841,1,1,1,1
1144261612016218115,1,1,0,1
1107035207801151488,1,1,1,1
1189728918024212480,1,1,0,1
1129372119480061953,1,1,0,1
1191110278290784256,1,1,0,1
1053822069677404160,1,1,0,1
1083436469912563715,1,1,0,1
1016080895588093953,1,1,0,1
1006519094852706304,1,0,0,1
1115284572,0,1,0,1
370539152,0,1,0,1
1103452289543667714,1,1,0,1
1192073972134895616,1,1,0,1
3044524441,0,0,1,1
3258462569,0,0,1,1
384641596,0,0,0,1
1191501824391561221,1,1,0,1
1179585847353643009,1,1,0,1
1907407465,0,0,0,1
86215202,0,0,1,1
1145519361828036608,1,1,0,1
1162109238040244227,1,1,0,1
1190307787001225216,1,1,0,1
1189565343808798721,1,1,1,1
927967051486040064,0,1,0,1
954769647231995904,1,0,0,1
428643348,0,0,0,1
1152010576329170947,1,1,0,1
1190233687834664960,1,1,0,1
1095749667231580160,1,0,0,1
1020818213427470336,1,0,1,1
